Symbol,Spot Price,Strike Price,Volatility,Interest Rate,Time to Maturity (Days),Option Type,Expiry Date
USD/JPY,1.143978709735292,1.0987771112597786,0.09697074145660776,0.02672040812660777,338,Put,2026-04-09
GBP/USD,1.0920813797441589,1.1114718365867633,0.0795917314613305,0.038408422279611415,282,Call,2026-02-12
USD/CHF,1.1797394306222635,1.254497978424425,0.23990365750626863,0.036218193919495864,230,Call,2025-12-22
USD/CHF,1.0628651913849356,1.112983932941992,0.1681715957386839,0.012902463072397164,92,Put,2025-08-06
GBP/USD,1.2121829053036954,1.197959082819313,0.18873692252334165,0.0317828300168834,50,Put,2025-06-25
USD/JPY,1.1387466031077251,1.1695135632439482,0.13852992520306617,0.03900150393125918,132,Put,2025-09-15
AUD/USD,1.198209362477343,1.1345646301128574,0.1692645408523168,0.021339388423396805,272,Call,2026-02-02
AUD/USD,1.0707623274740852,1.1970618625838565,0.06661810960762059,0.018185904227869754,76,Call,2025-07-21
EUR/USD,1.2468428205272832,1.2820670544106159,0.11384921838748026,0.04880942914557883,60,Call,2025-07-05
GBP/USD,1.1635870380621396,1.0994468641315487,0.09446761396723038,0.002611658885773255,168,Call,2025-10-21
USD/JPY,1.1738033857114853,1.190717901707873,0.2336502262218345,0.04197898939821536,177,Call,2025-10-30
AUD/USD,1.1115682008272103,1.09887615704238,0.054726080027720614,0.026157740400349877,87,Put,2025-08-01
GBP/USD,1.2169638424381324,1.273307255676026,0.14577111285381117,0.007163011240132084,50,Put,2025-06-25
GBP/USD,1.2356550987562918,1.1518280520502613,0.09973357448224007,0.03975162115054615,180,Call,2025-11-02
EUR/USD,1.1242434197238376,1.2781569139567712,0.20649389277170882,0.047745161033603545,285,Call,2026-02-15
AUD/USD,1.1407663038278177,1.1988163917152117,0.1911104691892374,0.04431036834600069,336,Put,2026-04-07
USD/JPY,1.1717705555972813,1.088958343574642,0.20088223465761373,0.04038066388178897,194,Call,2025-11-16
USD/CHF,1.235376262104985,1.090426991230813,0.21355008898343517,0.022264643121399832,332,Call,2026-04-03
EUR/USD,1.1958805571218205,1.1500166709874975,0.05895757186148831,0.02705327196870771,248,Call,2026-01-09
AUD/USD,1.122161176061399,1.0559826685932552,0.23124544517435397,0.015530409950368801,250,Call,2026-01-11
USD/CHF,1.157180190058903,1.254244468766351,0.0991963093970884,0.00829537167451489,277,Call,2026-02-07
EUR/USD,1.1731505002161131,1.1814572207755754,0.12041060408957178,0.021984758411411155,145,Put,2025-09-28
USD/CHF,1.075613542729672,1.2944116135191215,0.1480985627200928,0.03510845017839292,195,Put,2025-11-17
USD/JPY,1.1382239849832845,1.1911250340163604,0.2464088373740556,0.048948229650786046,324,Call,2026-03-26
AUD/USD,1.226674364998643,1.0847819293810539,0.16175553523199399,0.01831027702836346,232,Put,2025-12-24
USD/CHF,1.1618107676221539,1.1293327547885026,0.14282853428536318,0.04353408584334499,31,Put,2025-06-06
AUD/USD,1.2357544169347694,1.251469527401337,0.17961286396488352,0.03677337932756066,137,Call,2025-09-20
USD/JPY,1.1526689018504501,1.1047540813405416,0.21460039897594307,0.02827003729236169,13,Put,2025-05-19
USD/CHF,1.1964534827917301,1.2229497240523441,0.0640948334268662,0.028607975114247865,116,Put,2025-08-30
USD/JPY,1.2353277284227937,1.0759288764972696,0.16215861388015074,0.04494071581978742,350,Call,2026-04-21
GBP/USD,1.1953088298829675,1.2449734755389978,0.07562884883604955,0.03468064326606805,315,Put,2026-03-17
USD/CHF,1.1413153390315824,1.1205972314096584,0.0535718753575124,0.016653404399419654,187,Put,2025-11-09
USD/JPY,1.1673272418859266,1.2395552206619205,0.22687316650242106,0.04293580589154781,219,Put,2025-12-11
EUR/USD,1.2150977400371636,1.0528195977719892,0.20750426815476405,0.006729648535285799,231,Call,2025-12-23
USD/JPY,1.1732137511211846,1.1101659803187742,0.2212551534168282,0.028857206901499052,169,Put,2025-10-22
GBP/USD,1.2241709961871918,1.2813854108080127,0.08941142664873353,0.003941828906271683,186,Call,2025-11-08
AUD/USD,1.2369818472340142,1.0852122900093455,0.17663553404098628,0.010873433765056978,188,Put,2025-11-10
USD/CHF,1.0749981804136293,1.204088334540686,0.08842176853672996,0.007996062768317226,340,Put,2026-04-11
GBP/USD,1.1743963856924229,1.238208074869453,0.10658511521091885,0.033958362401210855,6,Call,2025-05-12
GBP/USD,1.1680218655352959,1.2596487939106953,0.18168826677957614,0.023445407086071037,53,Put,2025-06-28
GBP/USD,1.2254478237913469,1.0676466323863507,0.05915495966767579,0.008039752526264972,135,Call,2025-09-18
GBP/USD,1.2118476355913614,1.197199089679028,0.07360645371103174,0.03498294572517247,356,Call,2026-04-27
AUD/USD,1.130354690412027,1.1712673510013143,0.22001067324734236,0.019465009465455443,148,Call,2025-10-01
GBP/USD,1.0556869065895575,1.2794467256971296,0.24083542106561032,0.005635036152863937,52,Put,2025-06-27
USD/JPY,1.2398310244948718,1.267883730297034,0.21035080617905313,0.013093069568650346,341,Put,2026-04-12
USD/JPY,1.1351765449355777,1.2834167862878842,0.07317898128223543,0.017976181642560315,151,Put,2025-10-04
EUR/USD,1.1602383626387704,1.2135509766297776,0.15875685887198118,0.04856450337492773,150,Put,2025-10-03
GBP/USD,1.2477832769984059,1.125421640505531,0.13889265024063668,0.015678704868309613,75,Call,2025-07-20
EUR/USD,1.1818515213386693,1.288683321290158,0.0628670453067806,0.038427021158853394,107,Put,2025-08-21
EUR/USD,1.182493455842239,1.1478644084847183,0.24200763186955274,0.04592501006838131,246,Put,2026-01-07
USD/CHF,1.229583821448935,1.1767315015544242,0.11793309776945382,0.015046657128670676,326,Put,2026-03-28
AUD/USD,1.0602362099146079,1.2220140189677153,0.08593452272825877,0.043262383195547094,32,Put,2025-06-07
EUR/USD,1.1104246016605288,1.1514044028382289,0.10922751079766915,0.012857073024000826,195,Put,2025-11-17
EUR/USD,1.0696387153013367,1.1012788479389823,0.2276331968158999,0.0123768511630671,356,Call,2026-04-27
AUD/USD,1.124145323912625,1.077724393061421,0.14398142692581492,0.011617355921523088,89,Call,2025-08-03
EUR/USD,1.1986835116600052,1.2950981614270833,0.07875269195200824,0.018611041979981636,332,Call,2026-04-03
GBP/USD,1.1592160478045153,1.2134094154218813,0.22296276910227492,0.04895128901237235,270,Call,2026-01-31
AUD/USD,1.0699836184446159,1.109999010580169,0.22595698914863005,0.0231665696452067,135,Put,2025-09-18
USD/JPY,1.2200800745081155,1.153065617698524,0.1628629798672473,0.025877764436478864,297,Put,2026-02-27
EUR/USD,1.226159447098519,1.287278176970933,0.19626593704950468,0.013030319514644551,329,Call,2026-03-31
USD/CHF,1.0592028180831266,1.1801028691903517,0.05338303095327164,0.007954218558678467,202,Call,2025-11-24
USD/JPY,1.2329294712425554,1.0918420994393734,0.09903211251855329,0.0250258441142443,37,Call,2025-06-12
EUR/USD,1.2245023866922584,1.2838917664458793,0.11668731747070225,0.047300238609107065,144,Put,2025-09-27
USD/CHF,1.05201618943392,1.255110335406694,0.19249383259007125,0.04953469571913891,78,Put,2025-07-23
GBP/USD,1.0844709289291508,1.0681563379386143,0.0819369425930957,0.012370778913210052,97,Put,2025-08-11
EUR/USD,1.0712522368220256,1.0940808698525468,0.08323886574929483,0.013485731827067738,83,Call,2025-07-28
EUR/USD,1.247291398180358,1.1509387476167254,0.06656751298734205,0.019881298386250214,90,Put,2025-08-04
EUR/USD,1.2318219529705998,1.21851022317826,0.2016477573667588,0.023600126733508434,254,Call,2026-01-15
USD/CHF,1.0615006422239157,1.1865978277682872,0.09970323681779202,0.049277345583764134,84,Put,2025-07-29
USD/JPY,1.2382049624263072,1.1661592212216902,0.12673734921364674,0.038722092152731924,184,Put,2025-11-06
AUD/USD,1.06925106686836,1.2063651609912966,0.07457778913007869,0.009399884880982347,44,Put,2025-06-19
EUR/USD,1.1805720314006238,1.2212693220359354,0.07238577988756749,7.808792098823458e-06,285,Call,2026-02-15
AUD/USD,1.240191543138486,1.0979773133292758,0.17732209578620595,0.020054808255100823,24,Call,2025-05-30
GBP/USD,1.1608769654886133,1.0738481806237135,0.1824349101534256,0.006274291804935933,127,Put,2025-09-10
USD/CHF,1.097376835088768,1.2014805656580205,0.1220537597770206,0.0005967998907900397,231,Put,2025-12-23
USD/CHF,1.1554428942125043,1.0961334519445902,0.0800022394394568,0.023366242200923218,217,Call,2025-12-09
EUR/USD,1.0611891851456101,1.227853729669712,0.11162019218695624,0.01760618187453592,240,Put,2026-01-01
GBP/USD,1.149219955642823,1.0530169047209672,0.1982226871692049,0.034057701238827384,39,Put,2025-06-14
USD/JPY,1.0704812913867274,1.0820580130907553,0.23255460468882538,0.0006212838513779073,98,Call,2025-08-12
USD/CHF,1.1536774474915552,1.2029661403347116,0.10481522138202515,0.018179794888466685,345,Put,2026-04-16
AUD/USD,1.2140512907837857,1.2736882423871285,0.12122717117414612,0.02796048175901359,344,Put,2026-04-15
EUR/USD,1.1854220167875547,1.1543082746250035,0.12942062655598374,0.031339880588970206,261,Call,2026-01-22
USD/CHF,1.09400583865193,1.0674224832599648,0.22788293459945697,0.04766703725399657,208,Put,2025-11-30
USD/JPY,1.2184329597313623,1.1847132021669553,0.065525819679756,0.007835098149988996,90,Put,2025-08-04
GBP/USD,1.139380932032803,1.239713454617108,0.07646111040142388,0.008516704118732232,163,Call,2025-10-16
GBP/USD,1.0548203512828531,1.23888375647762,0.17618655534719704,0.044276784383975545,162,Put,2025-10-15
USD/JPY,1.2272761896513247,1.2641942953410237,0.2233297368917026,0.030505388460554197,73,Call,2025-07-18
EUR/USD,1.0699278319697967,1.215408855628563,0.15631546190449142,0.02038253636954637,144,Put,2025-09-27
EUR/USD,1.1263445520213804,1.141463351475563,0.22059264446721727,0.028521831911313578,331,Call,2026-04-02
EUR/USD,1.0942294379008548,1.2006928189432957,0.1340695128204478,0.001809507562981172,24,Call,2025-05-30
GBP/USD,1.2039358187982403,1.2907313044198345,0.2371640948839691,0.013960869645595826,26,Put,2025-06-01
GBP/USD,1.212465552064373,1.120104855724127,0.1570553682107419,0.032804400597377936,187,Call,2025-11-09
USD/JPY,1.1753278955923567,1.210692406759078,0.08633963284784239,0.038618850932179344,88,Call,2025-08-02
AUD/USD,1.1103906696689434,1.1413152158962072,0.08156046240300144,0.011903791343533416,354,Call,2026-04-25
AUD/USD,1.1597473335394957,1.0623231855945172,0.11059179096141453,0.008803374628266886,30,Put,2025-06-05
EUR/USD,1.2497739951162377,1.2750915440124553,0.08993855288542554,0.04877260476090106,194,Call,2025-11-16
AUD/USD,1.0951829104018393,1.1296857081831035,0.17747727176570757,0.02994587135025946,281,Call,2026-02-11
AUD/USD,1.0868608373042832,1.132830311825843,0.15657834140585236,0.0092801470515119,19,Put,2025-05-25
AUD/USD,1.2113644677420319,1.2170428100613997,0.06934368522292299,0.03441023046802424,2,Call,2025-05-08
AUD/USD,1.2485573473374336,1.1652488740679163,0.17335697520637863,0.012045627882082799,204,Put,2025-11-26
USD/CHF,1.0724581285234471,1.207396783924464,0.16525182137316877,0.014981845387965449,22,Put,2025-05-28
EUR/USD,1.1509895522061384,1.0765153006241994,0.08621690547193073,0.00448005102798249,10,Call,2025-05-16
USD/CHF,1.2338286411270347,1.251442606482152,0.06808429570467081,0.031700174470224336,342,Call,2026-04-13
AUD/USD,1.0590491266674453,1.1658042505627157,0.09760763056096777,0.023424454450287954,38,Call,2025-06-13
AUD/USD,1.0505434011557613,1.1428555127379332,0.18646431225692273,0.03922271911503233,157,Call,2025-10-10
GBP/USD,1.2346561700882697,1.2313255292733538,0.16256133812526652,0.011661509041763768,273,Put,2026-02-03
USD/CHF,1.1675891148100728,1.1604484023088506,0.16507848940708814,0.03176965323198126,286,Put,2026-02-16
AUD/USD,1.1820887474404267,1.0695473075857604,0.18450765264341346,0.015383093240012686,163,Put,2025-10-16
EUR/USD,1.2164592007555821,1.2152453290608125,0.1966639027725811,0.017615174532646966,54,Call,2025-06-29
GBP/USD,1.1920729712513902,1.0996313464444838,0.22789267185635295,0.028335324369001907,29,Put,2025-06-04
AUD/USD,1.088196259220345,1.073501502205315,0.2263111259505741,0.004739064842355989,148,Put,2025-10-01
GBP/USD,1.219503789829915,1.1411050153885895,0.21265273178008207,0.04123104116882563,35,Call,2025-06-10
GBP/USD,1.159310836752655,1.196402339878494,0.06213968822115126,0.004506286826542383,26,Put,2025-06-01
USD/CHF,1.129003562525847,1.1437446108079676,0.11450064825107072,0.001704754852010465,104,Call,2025-08-18
USD/JPY,1.1309220707106324,1.1361010733150616,0.21683471123301185,0.0014766003086023162,317,Put,2026-03-19
USD/CHF,1.133556632619472,1.1479471339793692,0.2492315476135417,0.03252836317234691,96,Call,2025-08-10
USD/JPY,1.1467564222349622,1.2995497311216697,0.12028265489886392,0.04051601760870078,134,Put,2025-09-17
USD/JPY,1.0805414677913814,1.20058714540644,0.11191210514194053,0.022160147616217332,320,Call,2026-03-22
AUD/USD,1.0642821745831132,1.0620824234788837,0.12291023604001952,0.02177980501320639,156,Put,2025-10-09
USD/CHF,1.2284542537153529,1.1166879112814447,0.1493620929330427,0.012088423655234671,2,Put,2025-05-08
AUD/USD,1.0929669810227682,1.056033967222694,0.2325771570698636,0.023826820340556706,12,Call,2025-05-18
AUD/USD,1.0536262091086366,1.1676836026659103,0.13254497930145578,0.034350201731065885,63,Call,2025-07-08
USD/JPY,1.226260082972676,1.0742094451263184,0.13219613537010805,0.04415824618728236,82,Put,2025-07-27
GBP/USD,1.1757007968837372,1.299590730641807,0.19865935658699774,0.014688203219337188,106,Call,2025-08-20
AUD/USD,1.1000566952082755,1.2825010934547254,0.2040116897256841,0.04902774730192608,222,Call,2025-12-14
EUR/USD,1.1212751651080197,1.190271370392201,0.12616637410273196,0.005669176471474014,106,Put,2025-08-20
GBP/USD,1.2444286033920728,1.1987967008779743,0.09401949694092378,0.005057196271916526,127,Call,2025-09-10
USD/JPY,1.083220958904776,1.1867607617986193,0.1268442192047353,0.040317054960557826,286,Put,2026-02-16
USD/JPY,1.1999173847805755,1.2214350612799247,0.13743620033607803,0.04971708013608963,105,Put,2025-08-19
USD/CHF,1.0776259163696207,1.1006798498772843,0.1617422693783299,0.011870972454895956,232,Put,2025-12-24
GBP/USD,1.2327220458639299,1.2018573533060732,0.18663405611393058,0.04743519196254734,136,Call,2025-09-19
GBP/USD,1.0862028145992833,1.1855736727834383,0.2432740427113512,0.04052606314556577,316,Put,2026-03-18
USD/CHF,1.21387771027087,1.2602984252790073,0.09979885784685512,0.016305272782057012,15,Call,2025-05-21
AUD/USD,1.20128701189456,1.1033083793025595,0.05119187231505578,0.0024992509340670543,177,Put,2025-10-30
AUD/USD,1.156358892301303,1.0620861963679153,0.1103775103156318,0.039856895418798194,48,Call,2025-06-23
USD/CHF,1.1607419525926483,1.0607324335986201,0.16236661474563208,0.04484731529857697,161,Call,2025-10-14
AUD/USD,1.2330691102738736,1.241154955873183,0.13014166430181506,0.002197343327755008,224,Call,2025-12-16
GBP/USD,1.1597497628796336,1.2389208057593248,0.12406339422122076,0.0458783999225647,164,Put,2025-10-17
AUD/USD,1.1825296066675495,1.1483822016834397,0.20338372055006534,0.004316161104100724,332,Put,2026-04-03
GBP/USD,1.116109012797496,1.1023605537507568,0.16017463323643194,0.014369292370838761,274,Put,2026-02-04
USD/JPY,1.247094793002529,1.1992799609206228,0.09019604376713958,0.03329018853703554,290,Put,2026-02-20
AUD/USD,1.2064427287212531,1.068166453438922,0.21156505213912202,0.001108519676305153,324,Put,2026-03-26
USD/JPY,1.078448094585252,1.2318328097204219,0.15434011903564784,0.030101504877179764,225,Call,2025-12-17
AUD/USD,1.2110049462021013,1.1069132454490924,0.10831241378409191,0.04576284780775222,54,Call,2025-06-29
USD/JPY,1.209929528017793,1.1090972313248535,0.0821155332552656,0.026440306085816413,38,Call,2025-06-13
GBP/USD,1.0506125089652216,1.127247028227449,0.07550064238567739,0.01650966789951695,152,Put,2025-10-05
EUR/USD,1.0579674938392896,1.2151637897207828,0.2023614428155588,0.03502246831731153,257,Put,2026-01-18
EUR/USD,1.115249337548838,1.1789151722255418,0.24212473362204168,0.027502455976660442,7,Call,2025-05-13
EUR/USD,1.2454907420202708,1.1922999439735325,0.0562067852868144,0.04736768598230582,89,Call,2025-08-03
USD/JPY,1.1728319700182535,1.1698182151624938,0.15136707486944767,0.0006803411822805417,283,Call,2026-02-13
USD/CHF,1.1316236231131027,1.2296635649456418,0.08578178323238467,0.032759497624122134,86,Call,2025-07-31
USD/JPY,1.1732893236938602,1.1236397863637344,0.2255354200822205,0.03947579054131309,147,Put,2025-09-30
AUD/USD,1.0659978114937925,1.1816752957480936,0.13457703527530926,0.015324689294369892,46,Put,2025-06-21
EUR/USD,1.156591116829131,1.2165877456208019,0.1261046017405025,0.036636109435843875,261,Put,2026-01-22
USD/JPY,1.1168447437208353,1.158628580497969,0.18582488291600538,0.04128432131086715,184,Put,2025-11-06
AUD/USD,1.2291680764455883,1.1573837940509812,0.0917799748121183,0.00868526018403809,85,Call,2025-07-30
USD/CHF,1.1199588090638917,1.2942221794433986,0.08756680555536839,0.0484129509926569,227,Call,2025-12-19
GBP/USD,1.183080497923692,1.1642246683352644,0.18587178839184867,0.0002916814440640625,198,Put,2025-11-20
GBP/USD,1.1365255669117882,1.2567785359499037,0.1703160476384709,0.047556200134480586,265,Call,2026-01-26
GBP/USD,1.1216283575655175,1.0939127406807918,0.08120215154395427,0.015612056547757559,140,Put,2025-09-23
GBP/USD,1.235129687372223,1.227422073289138,0.14634619127135914,0.0011005573376179744,164,Call,2025-10-17
USD/CHF,1.1589174229022705,1.0648611706633624,0.22634766345011284,0.04277460030832839,12,Call,2025-05-18
USD/JPY,1.195983541710448,1.1957656988793106,0.08055423248875596,0.03902158494825178,28,Put,2025-06-03
USD/CHF,1.14296339147206,1.245130862426058,0.1984619474445276,0.041151191558615574,144,Put,2025-09-27
EUR/USD,1.1977115313527968,1.2169617923534548,0.16954806195726724,0.020097272921577848,149,Call,2025-10-02
EUR/USD,1.2275781869278923,1.233642021757967,0.089997590428031,0.03563265577142724,108,Call,2025-08-22
USD/JPY,1.1345679170013194,1.1067864316385838,0.16997453953697472,0.007922785930714367,223,Put,2025-12-15
AUD/USD,1.152375019214591,1.0865645686275587,0.06033509556921577,0.005204400697839163,325,Call,2026-03-27
AUD/USD,1.0890561205396476,1.1888825028891332,0.22281661832565844,0.01610549353860363,299,Put,2026-03-01
AUD/USD,1.1964263253260305,1.260173999675651,0.05530923158720427,0.0008029790880611954,164,Put,2025-10-17
AUD/USD,1.2313849344133299,1.1129774187745958,0.12095282024838526,0.015682923834841624,313,Call,2026-03-15
USD/JPY,1.2114804705448516,1.1023809649876908,0.23335105038754533,0.011702632187097868,328,Put,2026-03-30
USD/JPY,1.2459983388823945,1.2417269152835178,0.07922326048847202,0.01741969348222443,225,Put,2025-12-17
AUD/USD,1.1698077085215013,1.1491987401180621,0.18494060679060245,0.02455085462943137,293,Call,2026-02-23
GBP/USD,1.1657230329020338,1.1179599804339797,0.2111295455399393,0.04297358558668958,93,Put,2025-08-07
USD/JPY,1.2499435008110942,1.2848886905296977,0.14478738901609708,0.010518408734674196,269,Call,2026-01-30
EUR/USD,1.1740199952931767,1.1772963813237243,0.17155156201400887,0.03858768682293596,100,Call,2025-08-14
USD/JPY,1.2084271149046202,1.1218156966881028,0.12575201601780514,0.021337153704277207,238,Put,2025-12-30
GBP/USD,1.2072156910570855,1.178153036235507,0.1451754590908428,0.012805257168959923,176,Put,2025-10-29
GBP/USD,1.0661348929957033,1.2238668238423647,0.22865817983487707,0.029832377307094562,319,Call,2026-03-21
EUR/USD,1.0980661200967892,1.0976958936700123,0.056066246515611186,0.03154837595002052,189,Call,2025-11-11
USD/JPY,1.1388857125805711,1.1429782691088102,0.22719702334819078,0.044945765857487156,287,Call,2026-02-17
EUR/USD,1.2260738498277348,1.2924354584070112,0.16352146846565502,0.014114159436959506,137,Put,2025-09-20
AUD/USD,1.2477238894210407,1.2085195229242922,0.24107872018044998,0.0461335271527949,127,Put,2025-09-10
GBP/USD,1.2064376529103704,1.1884603828890088,0.21119378289383783,0.030775856971207174,63,Call,2025-07-08
USD/CHF,1.1066898786628183,1.1319172504143316,0.19769248461194933,0.0053012828639887825,348,Call,2026-04-19
EUR/USD,1.2365393013035844,1.1561013974757133,0.20737687264812765,0.04004587087938394,183,Put,2025-11-05
GBP/USD,1.1069309626149786,1.193349880116966,0.20157906675791049,0.042428161951267064,280,Put,2026-02-10
EUR/USD,1.0622036486574675,1.2446255852019033,0.11484369620577883,0.04653927965304175,219,Put,2025-12-11
USD/JPY,1.218548999814169,1.2431942927685145,0.12058644633584155,0.011670559955093357,179,Call,2025-11-01
AUD/USD,1.1501806198039026,1.1101701514887743,0.21565390647400443,0.01599875445446078,280,Put,2026-02-10
USD/CHF,1.1617913798350448,1.1105576012033485,0.127000211830012,0.008873308145295045,190,Call,2025-11-12
USD/JPY,1.0776979054233953,1.2419100760535189,0.19480200115678983,0.03701559330673396,185,Put,2025-11-07
EUR/USD,1.203974218533888,1.2898616387105155,0.24325683123213618,0.02161060403727616,187,Put,2025-11-09
EUR/USD,1.2430524202350335,1.2375686200844782,0.24868935399579417,0.014567363882398833,290,Call,2026-02-20
EUR/USD,1.1450621614203023,1.2048261493814505,0.09849221415689582,0.033247072088926466,191,Put,2025-11-13
USD/CHF,1.1023387596621836,1.1588902788188182,0.1854987181762231,0.03037744065097659,209,Put,2025-12-01
USD/JPY,1.099125907677916,1.0897143895607497,0.07016574082853184,0.039767382882907015,86,Call,2025-07-31
EUR/USD,1.1982595970239738,1.2375154546688973,0.10440847829097986,0.0022785404206213224,280,Put,2026-02-10
USD/JPY,1.1681662296507975,1.259886081571737,0.24302988219036942,0.014872081185273923,202,Call,2025-11-24
USD/JPY,1.1197123157904463,1.2716342851398679,0.09182831928476676,0.025760044102104696,143,Call,2025-09-26
GBP/USD,1.233848155996176,1.2462658538505336,0.16730885992734523,0.027920579463834305,170,Call,2025-10-23
GBP/USD,1.219689340810055,1.1886348311920751,0.09630016991388109,0.04013659248418486,326,Call,2026-03-28
USD/JPY,1.1715356220259778,1.0847434680714483,0.0672329840455833,0.011605708731500897,100,Put,2025-08-14
USD/CHF,1.1254704284057448,1.189041405954322,0.08959772972289466,0.04436441052283474,218,Put,2025-12-10
EUR/USD,1.0751020893323746,1.2695340447074925,0.1276450773134686,0.03614486254429197,35,Call,2025-06-10
USD/JPY,1.1608229440461213,1.2874962496401678,0.21250848089628716,0.003998544688409134,317,Put,2026-03-19
AUD/USD,1.1455563614985071,1.0849932408654894,0.16100669976325507,0.049159514554795856,335,Call,2026-04-06
GBP/USD,1.201285883849045,1.200339422777627,0.10662719794078877,0.009059433043260524,103,Call,2025-08-17
USD/CHF,1.1182242936213733,1.1409184440824802,0.187826436678995,0.006756296788545219,232,Put,2025-12-24
USD/CHF,1.1038118888825499,1.113369405754084,0.23413191908302167,0.015796384322930828,276,Put,2026-02-06
USD/JPY,1.1075187078543696,1.0830802864825562,0.170355778929747,0.03852026106572737,34,Call,2025-06-09
USD/CHF,1.1227092341788913,1.2091553587653296,0.07446787657726393,0.03400551801859921,164,Call,2025-10-17
USD/CHF,1.0952255968308309,1.1845677195034146,0.22423110258130494,0.010634267290457605,149,Put,2025-10-02
USD/CHF,1.1955665050601074,1.2454016436855513,0.05918160379997293,0.003390881138633356,204,Put,2025-11-26
USD/CHF,1.1455858295430141,1.2548370902514872,0.11317376144897878,0.005341839723288378,176,Call,2025-10-29
USD/CHF,1.1981258238505976,1.2252245357982414,0.09090105319324814,0.03490381569672087,88,Call,2025-08-02
GBP/USD,1.1709276152050763,1.0685601091801396,0.11272173687097833,0.039162623615937794,44,Call,2025-06-19
GBP/USD,1.2084530552082462,1.0608705549253674,0.07055633009554119,0.03985278393618144,262,Put,2026-01-23
GBP/USD,1.246738268215292,1.159735581228504,0.1597166589349222,0.03468425133038907,96,Put,2025-08-10
AUD/USD,1.245739705659741,1.0935671611049347,0.11487123039044961,0.03013666930281716,177,Put,2025-10-30
GBP/USD,1.0545544908887947,1.1374149916839613,0.192981722517039,0.04463591534144759,17,Call,2025-05-23
EUR/USD,1.0837551780031478,1.136440124386313,0.10638764810732644,0.02194820041198007,91,Call,2025-08-05
USD/CHF,1.1242669566432268,1.0733579658765156,0.24334455652748854,0.02030392934691054,249,Call,2026-01-10
USD/JPY,1.1952103224827944,1.1875339503601894,0.15226670596938435,0.03568046989048932,195,Call,2025-11-17
USD/CHF,1.1411134907173377,1.0793410945620618,0.13685536646767937,0.03835154562228213,113,Call,2025-08-27
GBP/USD,1.0503374065798878,1.1824287475594253,0.2390261432837045,0.04490691727968453,230,Put,2025-12-22
USD/JPY,1.2052475967427183,1.0509496735892216,0.12692273658297692,0.004894547700750701,169,Call,2025-10-22
EUR/USD,1.1480783820216909,1.2627744225197906,0.12435472611703882,0.04937842852546436,155,Call,2025-10-08
GBP/USD,1.1439094006619765,1.1574959450716427,0.20516487505507175,0.0041621138648785805,307,Call,2026-03-09
USD/CHF,1.084286669900554,1.2164368033610455,0.12071036379905198,0.03607260912669898,361,Call,2026-05-02
GBP/USD,1.2079558272794944,1.2240675021339438,0.1468213807610572,0.002120155106144711,260,Call,2026-01-21
USD/JPY,1.2134939303798098,1.1736786222413726,0.12697775205053458,0.035909966795683805,298,Put,2026-02-28
USD/CHF,1.1760702375515109,1.2494186473773017,0.12297876539916955,0.04149389944247939,242,Call,2026-01-03
